leg_id,passenger_id,pnr_locator,ticket_id,price,cabin_class,is_start,is_end
70001363,PAX1537403533,LOC1483430384,TIC2043802458,250.0,E,1,1
70001363,PAX782744765,LOC1483430384,TIC1004713862,250.0,E,1,1
70001363,PAX495715356,LOC1483430384,TIC208650940,250.0,E,1,1
70001363,PAX547767136,LOC1483430384,TIC116806006,250.0,E,1,1
70001363,PAX1735972384,LOC1483430384,TIC1487047741,250.0,E,1,1
70001363,PAX1694464114,LOC1483430384,TIC1817841459,250.0,E,1,1
70001363,PAX94669618,LOC1483430384,TIC1975075976,250.0,E,1,1
70001363,PAX1446990811,LOC1483430384,TIC932756485,250.0,E,1,1
70001363,PAX1097030838,LOC1483430384,TIC1668310811,250.0,E,1,1
70001363,PAX782951138,LOC1483430384,TIC1137139621,250.0,E,1,1
70001363,PAX298369974,LOC1483430384,TIC1536955515,250.0,E,1,1
70001363,PAX548263352,LOC1483430384,TIC1157357291,250.0,E,1,1
70001363,PAX8642624,LOC1483430384,TIC377382220,250.0,E,1,1
70001363,PAX610745422,LOC1483430384,TIC2124395131,250.0,E,1,1
70001363,PAX1002462268,LOC1483430384,TIC1013065088,250.0,E,1,1
70001363,PAX1611281741,LOC1483430384,TIC1659228405,250.0,E,1,1
70001363,PAX1795818202,LOC1483430384,TIC671465066,250.0,E,1,1
70001363,PAX138681731,LOC1483430384,TIC1270562790,250.0,E,1,1
70001363,PAX1429704,LOC1483430384,TIC966173859,250.0,E,1,1
70001363,PAX763917645,LOC1483430384,TIC1372562266,250.0,E,1,1
70001363,PAX816588318,LOC1483430384,TIC1962937962,250.0,E,1,1
70001363,PAX1858832572,LOC1483430384,TIC1728674953,250.0,E,1,1
70001363,PAX584894534,LOC1483430384,TIC1482882268,250.0,E,1,1
70001363,PAX803560874,LOC1483430384,TIC346032659,250.0,E,1,1
70001363,PAX175959893,LOC1483430384,TIC1906928985,250.0,E,1,1
70001363,PAX1799830776,LOC1483430384,TIC488274154,250.0,E,1,1
70001363,PAX1302954326,LOC1483430384,TIC120779908,250.0,E,1,1
70001363,PAX638305450,LOC1483430384,TIC601251436,250.0,E,1,1
70001363,PAX1008409814,LOC1483430384,TIC1498698568,250.0,E,1,1
70001363,PAX293367123,LOC1483430384,TIC74686642,250.0,E,1,1
70001363,PAX1243329111,LOC1483430384,TIC926104021,250.0,E,1,1
70001363,PAX709081902,LOC1483430384,TIC935235872,250.0,E,1,1
70001363,PAX1557106766,LOC1483430384,TIC2121512874,250.0,E,1,1
