leg_id,passenger_id,pnr_locator,ticket_id,price,cabin_class,is_start,is_end
70004344,PAX2106309352,LOC593140615,TIC1731348280,200.0,E,1,1
70004344,PAX1743071615,LOC593140615,TIC440498541,200.0,E,1,1
70004344,PAX315260542,LOC593140615,TIC2010192527,200.0,E,1,1
70004344,PAX422785727,LOC593140615,TIC40603041,200.0,E,1,1
70004344,PAX1305791960,LOC593140615,TIC1611971729,200.0,E,1,1
70004344,PAX100537382,LOC593140615,TIC1584099206,200.0,E,1,1
70004344,PAX1982060747,LOC593140615,TIC1266914556,200.0,E,1,1
70004344,PAX1024916327,LOC593140615,TIC666201270,200.0,E,1,1
70004344,PAX1267495265,LOC593140615,TIC1089785284,200.0,E,1,1
70004344,PAX1249056463,LOC593140615,TIC1312333888,200.0,E,1,1
70004344,PAX1377643881,LOC1832899984,TIC804571710,287.5,E,1,0
70004333,PAX1377643881,LOC1832899984,TIC1202442421,287.5,E,0,1
70004344,PAX1505279062,LOC1832899984,TIC1067509977,287.5,E,1,0
70004333,PAX1505279062,LOC1832899984,TIC266224068,287.5,E,0,1
70004344,PAX345525818,LOC1832899984,TIC1950249602,287.5,E,1,0
70004333,PAX345525818,LOC1832899984,TIC675099661,287.5,E,0,1
70004344,PAX1242170046,LOC1408299680,TIC1120796263,200.0,E,1,1
70004344,PAX1185721702,LOC1408299680,TIC2012755572,200.0,E,1,1
70004344,PAX422259105,LOC1408299680,TIC2019253661,200.0,E,1,1
70004344,PAX1254988554,LOC1408299680,TIC265976800,200.0,E,1,1
70004344,PAX871711956,LOC1408299680,TIC1444751734,200.0,E,1,1
70004344,PAX1550746851,LOC1408299680,TIC1305244502,200.0,E,1,1
70004344,PAX600462363,LOC1408299680,TIC1784146209,200.0,E,1,1
70004344,PAX1786778192,LOC1408299680,TIC890002487,200.0,E,1,1
70004344,PAX667548203,LOC1408299680,TIC1399168180,200.0,E,1,1
70004344,PAX673526120,LOC1408299680,TIC1778427832,200.0,E,1,1
70004344,PAX1974665373,LOC1408299680,TIC290542965,200.0,E,1,1
70004344,PAX1197800966,LOC1408299680,TIC1300093285,200.0,E,1,1
70004344,PAX264200376,LOC1408299680,TIC1354599343,200.0,E,1,1
70004344,PAX378203501,LOC1408299680,TIC414601584,200.0,E,1,1
70004344,PAX1919362400,LOC1408299680,TIC1808728527,200.0,E,1,1
70004344,PAX1142082750,LOC1408299680,TIC955823463,200.0,E,1,1
70004344,PAX1416920516,LOC501626845,TIC2036632708,287.5,E,1,0
70004333,PAX1416920516,LOC501626845,TIC497081044,287.5,E,0,1
70004344,PAX198986832,LOC501626845,TIC660333017,287.5,E,1,0
70004333,PAX198986832,LOC501626845,TIC929057720,287.5,E,0,1
