leg_id,delta
7000145,22
7000146,29
70002521,11
70002593,7
70002610,42
70002613,18
70002633,60
70002654,37
70002661,38
70002673,27
70002674,32
70002793,9
70002877,165
70002879,8
70002978,43
70003070,17
70003107,120
70003108,119
70003144,38
70004165,11
70004264,7
70004265,10
70004268,16
70004344,18
70004359,21
70004360,39
70004406,16
70004408,90
70004483,37
70004525,19
70004583,75
70004600,17
70004617,18
70004638,29
70004656,36
70004658,16
70004673,31
70004676,26
70004696,90
70004726,36
70004791,14
