id,position,rank,base,acclimatization,duty_time,rest_time,tacc_week,tacc_month,tacc_year,cpm_deadhead,cpm_reserve,specs
DVTNGPQT,LEH,CP,LEH,LEH,0,1200,0,0,0,20,53,ERJ
JOGTNRGW,LEH,FO,LEH,LEH,0,1200,0,0,0,28,51,ERJ
WQXNGDQR,LEH,CSD,LEH,LEH,0,1200,0,0,0,28,45,ERJ
OMVOTBOX,LEH,ST,LEH,LEH,0,1200,0,0,0,26,54,ERJ
WEZECEYQ,LEH,ST,LEH,LEH,0,1200,0,0,0,23,54,ERJ
ERHJHXKD,TLS,CP,TLS,TLS,0,1200,0,0,0,21,48,CRJ
DUYAIAWD,TLS,FO,TLS,TLS,0,1200,0,0,0,28,40,CRJ
TBQYKWVL,TLS,CSD,TLS,TLS,0,1200,0,0,0,22,53,CRJ
XATNDIBX,TLS,ST,TLS,TLS,0,1200,0,0,0,20,52,CRJ
FSOEIMLQ,TLS,ST,TLS,TLS,0,1200,0,0,0,27,47,CRJ
LKMLMHDO,TLS,ST,TLS,TLS,0,1200,0,0,0,20,55,CRJ
JXZBDSVM,BES,CP,BES,BES,0,1200,0,0,0,20,58,Airbus
DHOWSKGF,BES,FO,BES,BES,0,1200,0,0,0,22,41,Airbus
LLQKCKUJ,BES,CS,BES,BES,0,1200,0,0,0,28,53,Airbus
QAVRQIHV,BES,CS,BES,BES,0,1200,0,0,0,27,41,Airbus
FHIGJSKW,BES,ST,BES,BES,0,1200,0,0,0,22,48,Airbus
IPMTOXVT,BES,ST,BES,BES,0,1200,0,0,0,23,59,Airbus
IHJIGLNZ,BES,ST,BES,BES,0,1200,0,0,0,28,57,Airbus
TWKBMJJN,BES,ST,BES,BES,0,1200,0,0,0,27,58,Airbus
WGYFQCGN,BES,ST,BES,BES,0,1200,0,0,0,29,58,Airbus
HLPEKLGP,BES,ST,BES,BES,0,1200,0,0,0,28,49,Airbus
KNPPCVJQ,BES,CP,BES,BES,0,1200,0,0,0,26,44,ERJ
WYLANWHB,BES,FO,BES,BES,0,1200,0,0,0,29,59,ERJ
SNZFGTQV,BES,CSD,BES,BES,0,1200,0,0,0,27,44,ERJ
OHOILDLW,BES,ST,BES,BES,0,1200,0,0,0,25,58,ERJ
SFGELWKW,BES,ST,BES,BES,0,1200,0,0,0,28,55,ERJ
IQSGBGCN,CFR,CP,CFR,CFR,0,1200,0,0,0,22,53,ERJ
LXUOCUJZ,CFR,FO,CFR,CFR,0,1200,0,0,0,27,46,ERJ
QUKTEXRV,CFR,CSD,CFR,CFR,0,1200,0,0,0,23,45,ERJ
UOTAFMFT,CFR,ST,CFR,CFR,0,1200,0,0,0,25,50,ERJ
DRNDYAFT,CFR,ST,CFR,CFR,0,1200,0,0,0,23,41,ERJ
RYJPIMUH,PUF,CP,PUF,PUF,0,1200,0,0,0,28,53,Fokker
UZNEDUSZ,PUF,FO,PUF,PUF,0,1200,0,0,0,27,44,Fokker
ZNBVKYJJ,PUF,CSD,PUF,PUF,0,1200,0,0,0,20,44,Fokker
IZFBIAPO,PUF,ST,PUF,PUF,0,1200,0,0,0,23,55,Fokker
MRWKRVMP,PUF,ST,PUF,PUF,0,1200,0,0,0,20,52,Fokker
PGUKLEAW,PUF,ST,PUF,PUF,0,1200,0,0,0,28,59,Fokker
SRDKKGDF,RNS,CP,RNS,RNS,0,1200,0,0,0,21,41,Fokker
XXOBKXQP,RNS,FO,RNS,RNS,0,1200,0,0,0,24,54,Fokker
WBFIDPBL,RNS,CSD,RNS,RNS,0,1200,0,0,0,29,43,Fokker
KNIMOTOW,RNS,ST,RNS,RNS,0,1200,0,0,0,27,51,Fokker
NGYRLYMN,RNS,ST,RNS,RNS,0,1200,0,0,0,22,41,Fokker
JSIXICHV,RNS,ST,RNS,RNS,0,1200,0,0,0,21,54,Fokker
SXZYZGYG,MLH,CP,MLH,MLH,0,1200,0,0,0,28,52,Airbus
IOGTMWLT,MLH,FO,MLH,MLH,0,1200,0,0,0,22,49,Airbus
OFIOONDE,MLH,CS,MLH,MLH,0,1200,0,0,0,29,57,Airbus
ATWDKCTC,MLH,CS,MLH,MLH,0,1200,0,0,0,29,49,Airbus
RWOJMTOI,MLH,ST,MLH,MLH,0,1200,0,0,0,25,55,Airbus
YWUAHFIS,MLH,ST,MLH,MLH,0,1200,0,0,0,28,55,Airbus
VNXZPMJP,MLH,ST,MLH,MLH,0,1200,0,0,0,24,40,Airbus
FAPXFMSO,MLH,ST,MLH,MLH,0,1200,0,0,0,20,46,Airbus
ZOKCHSNC,MLH,ST,MLH,MLH,0,1200,0,0,0,26,41,Airbus
MRUFEUKG,MLH,ST,MLH,MLH,0,1200,0,0,0,25,56,Airbus
APXCKZFR,MRS,CP,MRS,MRS,0,1200,0,0,0,20,50,Airbus
RZPJTUMC,MRS,FO,MRS,MRS,0,1200,0,0,0,27,51,Airbus
ULZEMDEO,MRS,CS,MRS,MRS,0,1200,0,0,0,28,40,Airbus
RLUBPTNT,MRS,CS,MRS,MRS,0,1200,0,0,0,22,43,Airbus
UEXPVQQP,MRS,ST,MRS,MRS,0,1200,0,0,0,23,57,Airbus
QSJWXWLP,MRS,ST,MRS,MRS,0,1200,0,0,0,28,44,Airbus
SZVDAXCH,MRS,ST,MRS,MRS,0,1200,0,0,0,27,46,Airbus
IMLODOHP,MRS,ST,MRS,MRS,0,1200,0,0,0,21,42,Airbus
ZHTYTGKZ,MRS,ST,MRS,MRS,0,1200,0,0,0,26,48,Airbus
DNOFOASO,MRS,ST,MRS,MRS,0,1200,0,0,0,20,50,Airbus
PBKXMXQM,LIG,CP,LIG,LIG,0,1200,0,0,0,21,50,BAE
KBZAHCKM,LIG,FO,LIG,LIG,0,1200,0,0,0,27,48,BAE
YJOFUWLJ,LIG,CS,LIG,LIG,0,1200,0,0,0,27,46,BAE
CBQVGYKM,LIG,ST,LIG,LIG,0,1200,0,0,0,20,56,BAE
RFIWCGQR,LIG,ST,LIG,LIG,0,1200,0,0,0,28,40,BAE
RNGRPDHD,RNS,CP,RNS,RNS,0,1200,0,0,0,23,49,CRJ
QBXKQUMR,RNS,FO,RNS,RNS,0,1200,0,0,0,21,40,CRJ
HBKEWFVG,RNS,CSD,RNS,RNS,0,1200,0,0,0,21,52,CRJ
TNWPXYZC,RNS,ST,RNS,RNS,0,1200,0,0,0,25,51,CRJ
WIPICYTN,RNS,ST,RNS,RNS,0,1200,0,0,0,29,50,CRJ
PSHJRQGG,RNS,ST,RNS,RNS,0,1200,0,0,0,21,49,CRJ
IOIXNYAZ,AVN,CP,AVN,AVN,0,1200,0,0,0,25,45,ERJ
XFDGYBGN,AVN,FO,AVN,AVN,0,1200,0,0,0,28,52,ERJ
DXTHOTAD,AVN,CSD,AVN,AVN,0,1200,0,0,0,26,59,ERJ
CKWURMMA,AVN,ST,AVN,AVN,0,1200,0,0,0,23,56,ERJ
OJZZHCQS,AVN,ST,AVN,AVN,0,1200,0,0,0,28,58,ERJ
OSCQKUUR,LIG,CP,LIG,LIG,0,1200,0,0,0,20,45,Airbus
OVYEITVY,LIG,FO,LIG,LIG,0,1200,0,0,0,23,42,Airbus
DKDGWQZI,LIG,CS,LIG,LIG,0,1200,0,0,0,25,48,Airbus
JMMPXHGJ,LIG,CS,LIG,LIG,0,1200,0,0,0,22,49,Airbus
PEULCLOM,LIG,ST,LIG,LIG,0,1200,0,0,0,29,49,Airbus
KYWEODEB,LIG,ST,LIG,LIG,0,1200,0,0,0,22,57,Airbus
JXEHINAM,LIG,ST,LIG,LIG,0,1200,0,0,0,25,47,Airbus
OMHKDQJZ,LIG,ST,LIG,LIG,0,1200,0,0,0,26,54,Airbus
AKTTOVCW,LIG,ST,LIG,LIG,0,1200,0,0,0,22,58,Airbus
QGJXKTYY,LIG,ST,LIG,LIG,0,1200,0,0,0,23,58,Airbus
AGHGBLFN,MRS,CP,MRS,MRS,0,1200,0,0,0,25,54,Airbus
OMRFTCNF,MRS,FO,MRS,MRS,0,1200,0,0,0,27,44,Airbus
QUGIASCK,MRS,CS,MRS,MRS,0,1200,0,0,0,25,43,Airbus
EPAZZMZG,MRS,CS,MRS,MRS,0,1200,0,0,0,26,56,Airbus
DTYGXBAU,MRS,ST,MRS,MRS,0,1200,0,0,0,22,48,Airbus
JPZTLLWZ,MRS,ST,MRS,MRS,0,1200,0,0,0,29,55,Airbus
PDYNOVCC,MRS,ST,MRS,MRS,0,1200,0,0,0,22,53,Airbus
XWQSDNVN,MRS,ST,MRS,MRS,0,1200,0,0,0,21,47,Airbus
VEPNOXYB,MRS,ST,MRS,MRS,0,1200,0,0,0,23,46,Airbus
RVJOMTLC,MRS,ST,MRS,MRS,0,1200,0,0,0,25,44,Airbus
LXVBMSML,BES,CP,BES,BES,0,1200,0,0,0,28,44,Airbus
VNVDXLKJ,BES,FO,BES,BES,0,1200,0,0,0,29,46,Airbus
LWLFMHZC,BES,CS,BES,BES,0,1200,0,0,0,20,54,Airbus
EBFQFMZI,BES,CS,BES,BES,0,1200,0,0,0,21,56,Airbus
ZAMZDFBP,BES,ST,BES,BES,0,1200,0,0,0,23,57,Airbus
WKSIREFP,BES,ST,BES,BES,0,1200,0,0,0,23,57,Airbus
FAHHEQSJ,BES,ST,BES,BES,0,1200,0,0,0,20,43,Airbus
UMAAXIPN,BES,ST,BES,BES,0,1200,0,0,0,27,44,Airbus
FKCZTILL,BES,ST,BES,BES,0,1200,0,0,0,21,56,Airbus
KAVFQNPE,BES,ST,BES,BES,0,1200,0,0,0,24,51,Airbus
LJJTEPEX,NTE,CP,NTE,NTE,0,1200,0,0,0,22,50,Airbus
VELRQDJR,NTE,FO,NTE,NTE,0,1200,0,0,0,20,48,Airbus
UQABTNBB,NTE,CS,NTE,NTE,0,1200,0,0,0,26,45,Airbus
MTCHPDAM,NTE,CS,NTE,NTE,0,1200,0,0,0,28,56,Airbus
FUOOMSPP,NTE,ST,NTE,NTE,0,1200,0,0,0,22,41,Airbus
GTSQQNZL,NTE,ST,NTE,NTE,0,1200,0,0,0,23,58,Airbus
WGSLVQAZ,NTE,ST,NTE,NTE,0,1200,0,0,0,27,47,Airbus
FYJEYMEY,NTE,ST,NTE,NTE,0,1200,0,0,0,28,53,Airbus
GBWWCXJM,NTE,ST,NTE,NTE,0,1200,0,0,0,29,51,Airbus
SJQOOFRU,NTE,ST,NTE,NTE,0,1200,0,0,0,22,58,Airbus
DPQKOSET,CFE,CP,CFE,CFE,0,1200,0,0,0,21,40,ERJ
