code,req_visa,slotted,hotel_cost,cppax_takeoff,cpT_landing,cpTpd_landing,service_start,service_finish,latitude,longitude
AJA,0,1,101,93,95,0,05:00,22:59,8.8029203414917,41.92359924316406
AMS,0,1,95,106,76,0,05:00,22:59,4.76389,52.308601
AVN,0,1,79,82,84,0,05:00,22:59,4.901830196380615,43.90729904174805
BES,0,1,111,108,110,0,05:00,22:59,-4.418540000915527,48.447898864746094
BIA,1,1,60,68,71,0,05:00,22:59,9.48373031616211,42.55270004272461
BIQ,0,1,111,103,99,0,05:00,22:59,-1.5311111,43.4683333
BOD,0,1,107,107,84,0,05:00,22:59,-0.715556025505,44.828300476100004
CDG,0,1,79,92,90,0,00:00,23:59,2.55,49.012798
CFE,1,1,96,97,110,0,05:00,22:59,3.1691699028,45.7867012024
CFR,0,1,69,100,115,0,05:00,22:59,-0.44999998807907104,49.173301696777344
CLY,0,1,94,118,68,0,05:00,22:59,8.7930556,42.5244444
ETZ,0,1,106,116,105,0,05:00,22:59,6.25131988525,48.9821014404
FSC,0,1,99,96,79,0,05:00,22:59,9.097780227661133,41.5005989074707
LDE,0,1,79,94,77,0,05:00,22:59,-0.006438999902456999,43.1786994934082
LEH,0,1,89,85,107,0,05:00,22:59,0.08805599808692932,49.53390121459961
LGW,0,1,83,112,105,0,05:00,22:59,-0.190278,51.148102
LIG,0,1,113,83,64,0,05:00,22:59,1.1794400215148926,45.86280059814453
LIL,0,1,98,77,71,0,05:00,22:59,3.086886,50.563332
LRT,1,1,73,68,82,0,05:00,22:59,-3.440000057220459,47.76060104370117
LYS,0,1,110,116,74,0,05:00,22:59,5.081111,45.725556
MLH,0,1,80,111,60,0,05:00,22:59,54.377601623535156,54.377601623535156
MPL,1,1,78,101,65,0,05:00,22:59,3.96301007270813,43.57619857788086
MRS,0,1,88,78,90,0,05:00,22:59,5.22142410278,43.439271922
NCE,0,1,109,92,71,0,05:00,22:59,7.215869903560001,43.6584014893
NTE,0,1,85,82,73,0,05:00,22:59,-1.61073005199,47.153198242200006
ORY,0,1,85,105,90,0,00:00,23:59,2.3794444,48.7233333
PGF,0,1,112,103,75,0,05:00,22:59,2.8706700801849365,42.74039840698242
PUF,0,1,99,60,99,0,05:00,22:59,-0.41861099004745483,43.380001068115234
RDZ,0,1,70,71,97,0,05:00,22:59,2.4826700687408447,44.407901763916016
RNS,1,1,118,68,62,0,05:00,22:59,-1.73478996754,48.069499969499994
SXB,0,1,101,89,88,0,05:00,22:59,7.628230094909668,48.538299560546875
TLN,0,1,60,96,98,0,05:00,22:59,6.14602994919,43.0973014832
TLS,0,1,60,111,68,0,05:00,22:59,1.36382,43.629101
UIP,0,1,69,89,69,0,05:00,22:59,-4.167789936065674,47.974998474121094
URO,0,1,118,114,99,0,05:00,22:59,1.1748000383377075,49.38420104980469
