leg_id,delta
70002521,41
70002522,45
70002523,37
70002526,19
70002573,35
70002582,150
70002588,3
70002597,120
70002598,123
70002599,113
70002600,123
70002614,1
70002619,14
70002644,56
70002661,135
70002662,128
70002793,12
70002883,25
70002892,26
70002969,34
70002973,180
70002975,17
70002976,44
70002978,3
70002980,189
70002981,41
70002982,23
70002983,-1
70002985,19
70002986,51
70002988,-1
70002989,8
70003074,180
70003077,-1
70003111,90
70003112,84
70004194,27
70004197,21
70004200,35
70004202,23
70004229,71
70004232,67
70004272,-1
70004295,74
70004296,135
70004298,66
70004314,75
70004315,60
70004317,53
70004320,43
70004344,18
70004349,165
70004366,34
70004369,18
70004375,9
70004431,4
70004483,1
70004485,44
70004486,18
70004490,14
70004501,45
70004502,90
70004503,9
70004507,32
70004514,21
70004551,150
70004552,143
70004577,140
70004583,120
70004587,115
70004588,114
70004590,115
70004602,25
70004627,38
70004638,19
70004657,40
70004658,44
70004703,36
70004768,21
70004837,60
70004838,55
70005163,30
70005165,32
