id,position,base,acclimatization,duty_time_limit,flight_time_limit,earliest_start_duty,cpm_deadhead,is_reserve,cpm_reserve,specs
534011718,CFE,CFE,CFE,600,480,2006-01-07T04:40,0,0,0,Airbus
237820880,CFE,CFE,CFE,600,480,2006-01-07T08:50,0,0,0,Airbus
1002897798,ETZ,ETZ,ETZ,600,480,2006-01-07T06:00,0,0,0,Airbus
1657007234,ETZ,ETZ,ETZ,600,480,2006-01-07T13:30,0,0,0,Airbus
1412011072,NTE,NTE,NTE,600,480,2006-01-07T06:05,0,0,0,Airbus
929393559,NCE,NCE,NCE,600,480,2006-01-07T05:05,0,0,0,Airbus
760389092,NCE,NCE,NCE,735,525,2006-01-07T09:05,0,0,0,Airbus
2026928803,ORY,ORY,ORY,600,480,2006-01-07T06:00,0,0,0,Airbus
217468053,ORY,ORY,ORY,600,480,2006-01-07T10:00,0,0,0,Airbus
1379662799,LIG,LIG,LIG,980,480,2006-01-07T04:35,0,0,0,Airbus
61497087,BIQ,BIQ,BIQ,995,480,2006-01-07T05:15,0,0,0,Airbus
532638534,ORY,ORY,ORY,600,480,2006-01-07T05:00,0,0,0,Airbus
687431273,ORY,ORY,ORY,600,480,2006-01-07T09:00,0,0,0,Airbus
2125508764,BES,BES,BES,600,480,2006-01-07T04:25,0,0,0,Airbus
1464848243,BES,BES,BES,600,480,2006-01-07T11:15,0,0,0,Airbus
1406361028,PUF,PUF,PUF,600,480,2006-01-07T04:40,0,0,0,Airbus
607156385,PUF,PUF,PUF,750,480,2006-01-07T09:10,0,0,0,Airbus
1321446349,MPL,MPL,MPL,600,480,2006-01-07T04:40,0,0,0,Airbus
1512368656,MPL,MPL,MPL,760,480,2006-01-07T08:50,0,0,0,Airbus
1507096884,CDG,CDG,CDG,885,525,2006-01-07T05:15,0,0,0,Airbus
2039633683,ORY,ORY,ORY,600,480,2006-01-07T05:25,0,0,0,Airbus
200550235,ORY,ORY,ORY,600,480,2006-01-07T10:30,0,0,0,Airbus
345545550,TLN,TLN,TLN,600,480,2006-01-07T04:45,0,0,0,Airbus
820276643,TLN,TLN,TLN,600,480,2006-01-07T09:05,0,0,0,Airbus
1713579631,ORY,ORY,ORY,600,480,2006-01-07T06:25,0,0,0,Airbus
363927940,ORY,ORY,ORY,600,480,2006-01-07T11:00,0,0,0,Airbus
1704637349,SXB,SXB,SXB,865,480,2006-01-07T06:00,0,0,0,Airbus
659767626,CDG,CDG,CDG,600,480,2006-01-07T05:30,0,0,0,Airbus
1767440095,CDG,CDG,CDG,600,480,2006-01-07T11:25,0,0,0,Airbus
1903678842,TLS,TLS,TLS,600,480,2006-01-07T05:05,0,0,0,Airbus
1194650126,TLS,TLS,TLS,600,480,2006-01-07T10:55,0,0,0,Airbus
1539174560,ORY,ORY,ORY,600,480,2006-01-07T05:30,0,0,0,Airbus
1501726364,ORY,ORY,ORY,600,480,2006-01-07T09:35,0,0,0,Airbus
29236707,ORY,ORY,ORY,660,480,2006-01-07T07:00,0,0,0,Airbus
2130037697,LIL,LIL,LIL,600,480,2006-01-07T04:45,0,0,0,Airbus
1731519511,LIL,LIL,LIL,600,480,2006-01-07T08:50,0,0,0,Airbus
