code,req_visa,slotted,hotel_cost,cppax_takeoff,cpT_landing,cpTpd_landing,service_start,service_finish,latitude,longitude
AJA,0,1,78,118,64,0,05:00,22:59,8.8029203414917,41.92359924316406
AMS,1,1,70,63,68,0,05:00,22:59,4.76389,52.308601
AVN,0,1,88,72,65,0,05:00,22:59,4.901830196380615,43.90729904174805
BES,0,1,60,88,61,0,05:00,22:59,-4.418540000915527,48.447898864746094
BIA,0,1,92,78,68,0,05:00,22:59,9.48373031616211,42.55270004272461
BIQ,1,1,105,115,94,0,05:00,22:59,-1.5311111,43.4683333
BOD,1,1,72,118,80,0,05:00,22:59,-0.715556025505,44.828300476100004
CDG,0,1,69,72,111,0,00:00,23:59,2.55,49.012798
CFE,0,1,74,61,76,0,05:00,22:59,3.1691699028,45.7867012024
CFR,0,1,118,78,119,0,05:00,22:59,-0.44999998807907104,49.173301696777344
CLY,0,1,94,70,99,0,05:00,22:59,8.7930556,42.5244444
ETZ,0,1,60,72,64,0,05:00,22:59,6.25131988525,48.9821014404
FSC,0,1,61,112,73,0,05:00,22:59,9.097780227661133,41.5005989074707
LDE,0,1,64,101,96,0,05:00,22:59,-0.006438999902456999,43.1786994934082
LEH,0,1,106,103,106,0,05:00,22:59,0.08805599808692932,49.53390121459961
LGW,0,1,113,88,104,0,05:00,22:59,-0.190278,51.148102
LIG,0,1,74,73,86,0,05:00,22:59,1.1794400215148926,45.86280059814453
LIL,0,1,112,117,99,0,05:00,22:59,3.086886,50.563332
LRT,0,1,66,105,117,0,05:00,22:59,-3.440000057220459,47.76060104370117
LYS,0,1,75,119,75,0,05:00,22:59,5.081111,45.725556
MLH,1,1,108,80,107,0,05:00,22:59,54.377601623535156,54.377601623535156
MPL,0,1,63,105,110,0,05:00,22:59,3.96301007270813,43.57619857788086
MRS,0,1,93,114,87,0,05:00,22:59,5.22142410278,43.439271922
NCE,0,1,113,76,92,0,05:00,22:59,7.215869903560001,43.6584014893
NTE,0,1,105,90,87,0,05:00,22:59,-1.61073005199,47.153198242200006
ORY,0,1,108,89,108,0,00:00,23:59,2.3794444,48.7233333
PGF,0,1,88,60,113,0,05:00,22:59,2.8706700801849365,42.74039840698242
PUF,0,1,99,114,65,0,05:00,22:59,-0.41861099004745483,43.380001068115234
RDZ,0,1,116,73,63,0,05:00,22:59,2.4826700687408447,44.407901763916016
RNS,1,1,113,77,115,0,05:00,22:59,-1.73478996754,48.069499969499994
SXB,0,1,106,102,68,0,05:00,22:59,7.628230094909668,48.538299560546875
TLN,0,1,111,79,104,0,05:00,22:59,6.14602994919,43.0973014832
TLS,0,1,84,114,90,0,05:00,22:59,1.36382,43.629101
UIP,0,1,89,99,73,0,05:00,22:59,-4.167789936065674,47.974998474121094
URO,0,1,91,73,112,0,05:00,22:59,1.1748000383377075,49.38420104980469
