id,position,rank,base,acclimatization,duty_time,rest_time,tacc_week,tacc_month,tacc_year,cpm_deadhead,cpm_reserve,specs
SQUZXEUQ,LEH,CP,LEH,LEH,0,1200,0,0,0,24,56,ERJ
TMTBPOGJ,LEH,FO,LEH,LEH,0,1200,0,0,0,22,52,ERJ
VLVDDKYH,LEH,CS,LEH,LEH,0,1200,0,0,0,20,58,ERJ
MLXWMOOB,LEH,ST,LEH,LEH,0,1200,0,0,0,27,50,ERJ
CMZKKAKI,LEH,ST,LEH,LEH,0,1200,0,0,0,29,40,ERJ
IATOYJBH,LEH,ST,LEH,LEH,0,1200,0,0,0,29,49,ERJ
XXWDWPHY,TLS,CP,TLS,TLS,0,1200,0,0,0,20,54,CRJ
FZICTRSL,TLS,FO,TLS,TLS,0,1200,0,0,0,24,52,CRJ
FFQJPKXB,TLS,CSD,TLS,TLS,0,1200,0,0,0,20,58,CRJ
MRXERQMV,TLS,ST,TLS,TLS,0,1200,0,0,0,20,51,CRJ
QAUQHGAL,TLS,ST,TLS,TLS,0,1200,0,0,0,28,55,CRJ
YRFWELWK,BES,CP,BES,BES,0,1200,0,0,0,27,57,Airbus
BSSNFFDK,BES,FO,BES,BES,0,1200,0,0,0,29,49,Airbus
ZYTSWFAP,BES,CSD,BES,BES,0,1200,0,0,0,20,59,Airbus
PIVSADWO,BES,CSD,BES,BES,0,1200,0,0,0,25,49,Airbus
OBOBLXZT,BES,ST,BES,BES,0,1200,0,0,0,28,57,Airbus
BJHOLWHP,BES,ST,BES,BES,0,1200,0,0,0,22,51,Airbus
RYKBDRAZ,BES,ST,BES,BES,0,1200,0,0,0,28,46,Airbus
ZHFUKAWO,BES,ST,BES,BES,0,1200,0,0,0,28,41,Airbus
NHWDMCTO,BES,ST,BES,BES,0,1200,0,0,0,25,45,Airbus
YPKKQTXI,BES,ST,BES,BES,0,1200,0,0,0,22,49,Airbus
HHEXDRFV,RNS,CP,RNS,RNS,0,1200,0,0,0,26,56,CRJ
ONFPHNVA,RNS,FO,RNS,RNS,0,1200,0,0,0,22,53,CRJ
CSVATBQF,RNS,CSD,RNS,RNS,0,1200,0,0,0,25,41,CRJ
LYSRSESM,RNS,ST,RNS,RNS,0,1200,0,0,0,27,40,CRJ
OPPPOZVY,RNS,ST,RNS,RNS,0,1200,0,0,0,24,44,CRJ
OCGDWLEY,CFR,CP,CFR,CFR,0,1200,0,0,0,29,56,ERJ
HBUXSXMA,CFR,FO,CFR,CFR,0,1200,0,0,0,20,52,ERJ
QDDNDPXJ,CFR,CS,CFR,CFR,0,1200,0,0,0,25,52,ERJ
TXVAVKFJ,CFR,ST,CFR,CFR,0,1200,0,0,0,22,44,ERJ
BTFOUFUY,CFR,ST,CFR,CFR,0,1200,0,0,0,24,49,ERJ
MGGTKWNS,CFR,ST,CFR,CFR,0,1200,0,0,0,21,40,ERJ
QMNOCOSQ,BES,CP,BES,BES,0,1200,0,0,0,27,52,Fokker
UPYSIZEJ,BES,FO,BES,BES,0,1200,0,0,0,20,57,Fokker
YAGQGMDS,BES,CS,BES,BES,0,1200,0,0,0,27,55,Fokker
MYSCOBHK,BES,ST,BES,BES,0,1200,0,0,0,22,59,Fokker
USVJUZHG,BES,ST,BES,BES,0,1200,0,0,0,20,47,Fokker
SQENHXDX,BES,ST,BES,BES,0,1200,0,0,0,20,54,Fokker
NVUYHSQS,PUF,CP,PUF,PUF,0,1200,0,0,0,28,41,Fokker
OIWPKPTV,PUF,FO,PUF,PUF,0,1200,0,0,0,29,44,Fokker
MMCIMIFC,PUF,CS,PUF,PUF,0,1200,0,0,0,23,42,Fokker
YJCTXSMT,PUF,ST,PUF,PUF,0,1200,0,0,0,20,49,Fokker
WLZOLOEG,PUF,ST,PUF,PUF,0,1200,0,0,0,20,48,Fokker
LNWHLQKH,PUF,ST,PUF,PUF,0,1200,0,0,0,25,40,Fokker
EUFSYLVW,MLH,CP,MLH,MLH,0,1200,0,0,0,22,44,Airbus
TPCZUYMN,MLH,FO,MLH,MLH,0,1200,0,0,0,26,56,Airbus
HAHMEPUS,MLH,CSD,MLH,MLH,0,1200,0,0,0,29,46,Airbus
SMDRCJQO,MLH,CSD,MLH,MLH,0,1200,0,0,0,21,50,Airbus
QSRNIRKV,MLH,ST,MLH,MLH,0,1200,0,0,0,24,43,Airbus
BVUSVSNU,MLH,ST,MLH,MLH,0,1200,0,0,0,23,49,Airbus
TNRKPVVV,MLH,ST,MLH,MLH,0,1200,0,0,0,27,54,Airbus
SXGSOCBD,MLH,ST,MLH,MLH,0,1200,0,0,0,24,55,Airbus
EKJNYUBZ,MLH,ST,MLH,MLH,0,1200,0,0,0,29,49,Airbus
TGEBYDJI,MLH,ST,MLH,MLH,0,1200,0,0,0,28,42,Airbus
WFWTLCAB,MRS,CP,MRS,MRS,0,1200,0,0,0,27,41,Airbus
MVNZCBLH,MRS,FO,MRS,MRS,0,1200,0,0,0,26,44,Airbus
ASRMWQLR,MRS,CSD,MRS,MRS,0,1200,0,0,0,21,42,Airbus
DGSVDCIY,MRS,CSD,MRS,MRS,0,1200,0,0,0,27,47,Airbus
UQCIGAUF,MRS,ST,MRS,MRS,0,1200,0,0,0,24,41,Airbus
MYXOZYXL,MRS,ST,MRS,MRS,0,1200,0,0,0,26,57,Airbus
JHKHTBKB,MRS,ST,MRS,MRS,0,1200,0,0,0,22,47,Airbus
VYMPUKHG,MRS,ST,MRS,MRS,0,1200,0,0,0,27,48,Airbus
NJRDCAGM,MRS,ST,MRS,MRS,0,1200,0,0,0,21,41,Airbus
YWWPNKOR,MRS,ST,MRS,MRS,0,1200,0,0,0,29,55,Airbus
MRXIPSCA,LIG,CP,LIG,LIG,0,1200,0,0,0,23,44,BAE
HOYPHRBC,LIG,FO,LIG,LIG,0,1200,0,0,0,26,56,BAE
MMZZWYHX,LIG,CS,LIG,LIG,0,1200,0,0,0,21,41,BAE
BNHUPSXH,LIG,ST,LIG,LIG,0,1200,0,0,0,21,46,BAE
TXOVRKII,LIG,ST,LIG,LIG,0,1200,0,0,0,20,47,BAE
NOBPQHLD,AVN,CP,AVN,AVN,0,1200,0,0,0,26,44,ERJ
TIYUCIJM,AVN,FO,AVN,AVN,0,1200,0,0,0,28,50,ERJ
DMCLLWAR,AVN,CS,AVN,AVN,0,1200,0,0,0,24,46,ERJ
IQPUMJOF,AVN,ST,AVN,AVN,0,1200,0,0,0,23,40,ERJ
EXPYLKAQ,AVN,ST,AVN,AVN,0,1200,0,0,0,27,59,ERJ
NTSNXLUN,AVN,ST,AVN,AVN,0,1200,0,0,0,22,43,ERJ
SMRFMWRV,RNS,CP,RNS,RNS,0,1200,0,0,0,25,59,Fokker
LUZIWYCP,RNS,FO,RNS,RNS,0,1200,0,0,0,29,42,Fokker
ZCFHYMIC,RNS,CS,RNS,RNS,0,1200,0,0,0,25,52,Fokker
FIKKEPZW,RNS,ST,RNS,RNS,0,1200,0,0,0,27,59,Fokker
BSSFCZAU,RNS,ST,RNS,RNS,0,1200,0,0,0,26,54,Fokker
UOOGNBAK,RNS,ST,RNS,RNS,0,1200,0,0,0,28,40,Fokker
OQIRRAFT,MRS,CP,MRS,MRS,0,1200,0,0,0,26,48,Airbus
MJQRWXQQ,MRS,FO,MRS,MRS,0,1200,0,0,0,22,48,Airbus
FKJPLTOF,MRS,CSD,MRS,MRS,0,1200,0,0,0,29,58,Airbus
ZWZROXHE,MRS,CSD,MRS,MRS,0,1200,0,0,0,20,57,Airbus
RZLFWLGT,MRS,ST,MRS,MRS,0,1200,0,0,0,24,42,Airbus
BFJMXBPU,MRS,ST,MRS,MRS,0,1200,0,0,0,23,57,Airbus
WJRUDKCQ,MRS,ST,MRS,MRS,0,1200,0,0,0,20,54,Airbus
SWNEWBNM,MRS,ST,MRS,MRS,0,1200,0,0,0,23,40,Airbus
JTKRDPVG,MRS,ST,MRS,MRS,0,1200,0,0,0,25,42,Airbus
YNGTUJHM,MRS,ST,MRS,MRS,0,1200,0,0,0,20,52,Airbus
JTKZZUCU,BES,CP,BES,BES,0,1200,0,0,0,26,57,Airbus
INQSDBHM,BES,FO,BES,BES,0,1200,0,0,0,27,45,Airbus
PLELPMMH,BES,CSD,BES,BES,0,1200,0,0,0,21,59,Airbus
PEVZQQHH,BES,CSD,BES,BES,0,1200,0,0,0,29,40,Airbus
DLGFYASP,BES,ST,BES,BES,0,1200,0,0,0,25,51,Airbus
QQCAERMI,BES,ST,BES,BES,0,1200,0,0,0,21,56,Airbus
HBWLMKAX,BES,ST,BES,BES,0,1200,0,0,0,20,48,Airbus
NLKZOZDY,BES,ST,BES,BES,0,1200,0,0,0,20,51,Airbus
SDBMJRQC,BES,ST,BES,BES,0,1200,0,0,0,22,51,Airbus
KGBAIHYO,BES,ST,BES,BES,0,1200,0,0,0,24,46,Airbus
KOIHXXXQ,NTE,CP,NTE,NTE,0,1200,0,0,0,28,52,Airbus
PFWMTUSK,NTE,FO,NTE,NTE,0,1200,0,0,0,28,57,Airbus
JLQFOSZD,NTE,CSD,NTE,NTE,0,1200,0,0,0,26,48,Airbus
VYYXJWXG,NTE,CSD,NTE,NTE,0,1200,0,0,0,29,42,Airbus
YPPNBXUO,NTE,ST,NTE,NTE,0,1200,0,0,0,27,47,Airbus
BOLBAQGL,NTE,ST,NTE,NTE,0,1200,0,0,0,25,59,Airbus
OYYTLVAO,NTE,ST,NTE,NTE,0,1200,0,0,0,22,43,Airbus
DVDAGYSN,NTE,ST,NTE,NTE,0,1200,0,0,0,26,50,Airbus
