leg_id,delta
7000149,42
70001374,150
70001375,115
70001378,124
70001379,137
70001380,114
70002519,5
70002526,29
70002533,127
70002543,60
70002544,60
70002587,34
70002596,37
70002600,37
70002601,45
70002602,49
70002609,36
70002625,22
70002629,42
70002633,127
70002634,120
70002643,76
70002644,93
70002654,180
70002655,117
70002656,107
70002657,162
70002658,152
70002793,10
70002794,90
70002795,81
70002796,33
70002797,23
70002872,1
70002883,26
70002892,27
70002895,27
70002965,12
70002968,28
70002972,89
70002974,21
70002975,4
70002977,20
70002978,38
70002982,11
70002983,34
70002984,29
70002985,5
70002988,44
70002989,25
70002992,10
70002995,41
70002996,31
70003073,23
70003075,8
70003077,120
70003081,19
70003082,114
70003088,13
70003097,2
70003111,90
70003112,83
70004171,5
70004195,30
70004197,17
70004200,29
70004202,19
70004213,22
70004270,1
70004279,44
70004296,29
70004322,6
70004336,120
70004337,92
70004344,18
70004345,8
70004363,32
70004365,88
70004366,22
70004370,18
70004375,12
70004376,8
70004386,12
70004431,62
70004432,29
70004435,37
70004498,4
70004528,15
70004574,15
70004583,2
70004617,22
70004625,21
70004638,9
70004639,22
70004643,135
70004648,13
70004650,-1
70004657,161
70004658,158
70004676,36
70004694,15
70004703,149
70004704,150
70004791,23
70004837,105
70004838,95
70005163,2
